      6    291         itext   idata
 Output of the Ioffe code for BSk

 NSCool Input Crust
   Rho        Press       nbar       [A_cell]    [A_ion]     [Z]
   270811092578.58792        4.5070988392546415E+029   1.6308614062977093E-004   115.73715391000000        115.73715391000000        37.401588199999999     
   257915326265.32181        4.2504357306943417E+029   1.5532013393311516E-004   115.08447067000000        115.08447067000000        37.331275769999998     
   245633644062.21124        4.0095440519314378E+029   1.4792393707915730E-004   114.43731511000000        114.43731511000000        37.260754630000001     
   233936803868.77261        3.7832319504089556E+029   1.4087994007538790E-004   113.79564404000000        113.79564404000000        37.190034750000002     
   222796956065.49771        3.5703636365114703E+029   1.3417137150036943E-004   113.15941467000000        113.15941467000000        37.119125969999999     
   212187577205.23590        3.3698985396432271E+029   1.2778225857178039E-004   112.52858456000000        112.52858456000000        37.048037989999997     
   202083406862.12943        3.1809036440532483E+029   1.2169738911598132E-004   111.90311163000000        111.90311163000000        36.976780400000003     
   192460387487.74231        3.0025511367557682E+029   1.1590227534855364E-004   111.28295414999999        111.28295414999999        36.905362629999999     
   183295607131.18314        2.8341089392175036E+029   1.1038311937957490E-004   110.66807077000000        110.66807077000000        36.833793980000003     
   174567244886.84106        2.6749285618386040E+029   1.0512678036149988E-004   110.05842045999999        110.05842045999999        36.762083650000001     
   166254518939.84863        2.5244327125833564E+029   1.0012074320142846E-004   109.45396257000000        109.45396257000000        36.690240690000003     
   158337637085.57013        2.3821038702599115E+029   9.5353088763265191E-005   108.85465677000001        108.85465677000001        36.618274020000001     
   150797749605.30487        2.2474743252193003E+029   9.0812465488823984E-005   108.26046309000000        108.26046309000000        36.546192439999999     
   143616904386.00464        2.1201178013719957E+029   8.6488062370308560E-005   107.67134191000000        107.67134191000000        36.474004630000003     
   136778004177.14728        1.9996425752081939E+029   8.2369583209817689E-005   107.08725393000000        107.08725393000000        36.401719139999997     
   130264765882.99741        1.8856859191730601E+029   7.8447222104588264E-005   106.50816021000000        106.50816021000000        36.329344419999998     
   124061681793.33086        1.7779096691182389E+029   7.4711640099607877E-005   105.93402213000000        105.93402213000000        36.256888770000003     
   118153982660.31509        1.6759967195157007E+029   7.1153942952007494E-005   105.36480140000000        105.36480140000000        36.184360390000002     
   112527602533.63342        1.5796482689558165E+029   6.7765659954292846E-005   104.80046007999999        104.80046007999999        36.111767360000002     
   107169145270.12706        1.4885816628405485E+029   6.4538723765993181E-005   104.24096054000000        104.24096054000000        36.039117650000001     
   102065852638.21625        1.4025287051976399E+029   6.1465451205707788E-005   103.68626549000000        103.68626549000000        35.966419100000003     
   97205573941.158325        1.3212343347535719E+029   5.8538524957816943E-005   103.13633795000000        103.13633795000000        35.893679450000000     
   92576737086.817444        1.2444555808006910E+029   5.5750976150301846E-005   102.59114126999999        102.59114126999999        35.820906330000000     
   88168321035.064224        1.1719607317138130E+029   5.3096167762192235E-005   102.05063912000000        102.05063912000000        35.748107249999997     
   83969829557.204025        1.1035286633524323E+029   5.0567778821135457E-005   101.51479548000000        101.51479548000000        35.675289610000000     
   79971266244.956207        1.0389482863175281E+029   4.8159789353462338E-005   100.98357466000000        100.98357466000000        35.602460720000003     
   76163110709.482101        9.7801808049227085E+028   4.5866466050916505E-005   100.45694125999999        100.45694125999999        35.529627769999998     
   72536295913.792480        9.2054569283467278E+028   4.3682348619920488E-005   99.934860209999997        99.934860209999997        35.456797840000000     
   69082186584.564270        8.6634758035104432E+028   4.1602236780876657E-005   99.417296750000006        99.417296750000006        35.383977909999999     
   65792558651.965965        8.1524868484482421E+028   3.9621177886549192E-005   98.904216410000004        98.904216410000004        35.311174870000002     
   62659579668.539009        7.6708212966131399E+028   3.7734455130046845E-005   98.395585030000007        98.395585030000007        35.238395490000002     
   59675790160.513336        7.2168893144039436E+028   3.5937576314330329E-005   97.891368760000006        97.891368760000006        35.165646440000003     
   56834085867.155556        6.7891772201668729E+028   3.4226263156505072E-005   97.391534050000004        97.391534050000004        35.092934309999997     
   54127700825.862434        6.3862447721141384E+028   3.2596441101433399E-005   96.896047629999998        96.896047629999998        35.020265580000000     
   51550191262.726128        6.0067225045445688E+028   3.1044229620412768E-005   96.404876549999997        96.404876549999997        34.947646620000000     
   49095420250.215355        5.6493091004921203E+028   2.9565932971821675E-005   95.917988149999999        95.917988149999999        34.875083730000000     
   46757543095.443192        5.3127687951951102E+028   2.8158031401734928E-005   95.435350040000003        95.435350040000003        34.802583100000000     
   44530993424.231606        4.9959288091549920E+028   2.6817172763557072E-005   94.956930150000005        94.956930150000005        34.730150819999999     
   42410469927.839622        4.6976768124777876E+028   2.5540164536721019E-005   94.482696680000004        94.482696680000004        34.657792909999998     
   40390923740.799637        4.4169584240417842E+028   2.4323966225448586E-005   94.012618130000007        94.012618130000007        34.585515289999996     
   38467546419.809174        4.1527747500739921E+028   2.3165682119474839E-005   93.546663260000003        93.546663260000003        34.513323759999999     
   36635758495.056351        3.9041799671774790E+028   2.2062554399499846E-005   93.084801139999996        93.084801139999996        34.441224089999999     
   34891198566.720329        3.6702789548928388E+028   2.1011956570952232E-005   92.627001100000001        92.627001100000001        34.369221899999999     
   33229712920.686028        3.4502249826272944E+028   2.0011387210430700E-005   92.173232769999998        92.173232769999998        34.297322780000002     
   31647345638.748596        3.2432174553532486E+028   1.9058464009933994E-005   91.723466040000005        91.723466040000005        34.225532180000002     
   30140329179.760567        3.0484997219233567E+028   1.8150918104699044E-005   91.277671089999998        91.277671089999998        34.153855520000000     
   28705075409.295776        2.8653569492388208E+028   1.7286588671141947E-005   90.835818360000005        90.835818360000005        34.082298090000002     
   27338167056.472168        2.6931140648741210E+028   1.6463417782039949E-005   90.397878570000003        90.397878570000003        34.010865129999999     
   26036349577.592541        2.5311337701363439E+028   1.5679445506704712E-005   89.963822699999994        89.963822699999994        33.939561779999998     
   24796523407.230991        2.3788146249384257E+028   1.4932805244480679E-005   89.533622010000002        89.533622010000002        33.868393110000000     
   23615736578.315228        2.2355892053078647E+028   1.4221719280457788E-005   89.107248040000002        89.107248040000002        33.797364100000003     
   22491177693.633549        2.1009223338413274E+028   1.3544494552816938E-005   88.684672559999996        88.684672559999996        33.726479670000003     
   21420169232.031952        1.9743093829579103E+028   1.2899518621730420E-005   88.265867630000002        88.265867630000002        33.655744650000003     
   20400161173.363762        1.8552746503964966E+028   1.2285255830219446E-005   87.850805570000006        87.850805570000006        33.585163780000002     
   19428724927.013107        1.7433698060506559E+028   1.1700243647828043E-005   87.439458950000002        87.439458950000002        33.514741770000001     
   18503547549.536293        1.6381724089320686E+028   1.1143089188407661E-005   87.031800619999999        87.031800619999999        33.444483200000001     
   17622426237.653610        1.5392844927966004E+028   1.0612465893721581E-005   86.627803650000004        86.627803650000004        33.374392620000002     
   16783263083.479630        1.4463312187580101E+028   1.0107110374972935E-005   86.227441409999997        86.227441409999997        33.304474499999998     
   15984060079.504408        1.3589595930411434E+028   9.6258194047361274E-006   85.830687499999996        85.830687499999996        33.234733210000002     
   15222914361.432768        1.2768372478939202E+028   9.1674470521296432E-006   85.437515770000005        85.437515770000005        33.165173090000003     
   14498013677.555016        1.1996512835735693E+028   8.7309019544091836E-006   85.047900339999998        85.047900339999998        33.095798389999999     
   13807632073.861919        1.1271071692504896E+028   8.3151447184849366E-006   84.661815559999994        84.661815559999994        33.026613300000001     
   13150125784.630400        1.0589277006244661E+028   7.9191854461761306E-006   84.279236049999994        84.279236049999994        32.957621930000002     
   12523929318.695618        9.9485201202233897E+027   7.5420813773106001E-006   83.900136660000001        83.900136660000001        32.888828330000003     
   11927551732.091064        9.3463464073879590E+027   7.1829346450577139E-006   83.524492499999994        83.524492499999994        32.820236510000001     
   11359573078.181965        8.7804464139177211E+027   6.8408901381502031E-006   83.152278920000001        83.152278920000001        32.751850370000000     
   10818641026.839966        8.2486474808532804E+027   6.5151334649049547E-006   82.783471500000005        82.783471500000005        32.683673790000000     
   10303467644.609491        7.7489058220907313E+027   6.2048890141951952E-006   82.418046099999998        82.418046099999998        32.615710559999997     
   9812826328.1995144        7.2792990374464900E+027   5.9094181087573285E-006   82.055978780000004        82.055978780000004        32.547964430000000     
   9345548883.9995365        6.8380190400272381E+027   5.6280172464355505E-006   81.697245859999995        81.697245859999995        32.480439070000003     
   8900522746.6662254        6.4233653776986651E+027   5.3600164251767149E-006   81.341823910000002        81.341823910000002        32.413138099999998     
