     6      814     itext   idata											
																								
Haensel & Zdunik (2008) EOS: 																							
																								
   rho             P		    n         A_cell   A_ion       Z				
 (g/cm3)		(dynes/cm2)     (#/fm3)																

   1.46450e+11   2.33430e+29   8.77600e-05      56      56      20
   1.43940e+11   2.28110e+29   8.62580e-05      56      56      20
   1.41470e+11   2.22920e+29   8.47820e-05      56      56      20
   1.39040e+11   2.17850e+29   8.33310e-05      56      56      20
   1.36660e+11   2.12890e+29   8.19050e-05      56      56      20
   1.34320e+11   2.08040e+29   8.05030e-05      56      56      20
   1.32010e+11   2.03310e+29   7.91250e-05      56      56      20
   1.29750e+11   1.98680e+29   7.77710e-05      56      56      20
   1.27530e+11   1.94160e+29   7.64400e-05      56      56      20
   1.25340e+11   1.89740e+29   7.51320e-05      56      56      20
   1.23190e+11   1.85420e+29   7.38460e-05      56      56      20
   1.21080e+11   1.81200e+29   7.25820e-05      56      56      20
   1.19000e+11   1.77070e+29   7.13400e-05      56      56      20
   1.16960e+11   1.73040e+29   7.01190e-05      56      56      20
   1.14960e+11   1.69100e+29   6.89190e-05      56      56      20
   1.12990e+11   1.65250e+29   6.77400e-05      56      56      20
   1.11050e+11   1.61490e+29   6.65800e-05      56      56      20
   1.09150e+11   1.57820e+29   6.54410e-05      56      56      20
   1.07280e+11   1.54220e+29   6.43210e-05      56      56      20
   1.05440e+11   1.50710e+29   6.32200e-05      56      56      20
   1.03630e+11   1.47280e+29   6.21380e-05      56      56      20
   1.01850e+11   1.43930e+29   6.10750e-05      56      56      20
   1.00110e+11   1.40650e+29   6.00300e-05      56      56      20
   9.83930e+10   1.37450e+29   5.90020e-05      56      56      20
   9.67060e+10   1.34320e+29   5.79930e-05      56      56      20
   9.50490e+10   1.31270e+29   5.70000e-05      56      56      20
   9.34200e+10   1.28280e+29   5.60250e-05      56      56      20
   9.18190e+10   1.25360e+29   5.50660e-05      56      56      20
   9.02450e+10   1.22500e+29   5.41240e-05      56      56      20
   8.86980e+10   1.19720e+29   5.31970e-05      56      56      20
   8.71780e+10   1.16990e+29   5.22870e-05      56      56      20
   8.56840e+10   1.14330e+29   5.13920e-05      56      56      20
   8.42160e+10   1.11730e+29   5.05130e-05      56      56      20
   8.27730e+10   1.09180e+29   4.96490e-05      56      56      20
   8.13540e+10   1.06700e+29   4.87990e-05      56      56      20
   7.99600e+10   1.04270e+29   4.79640e-05      56      56      20
   7.85900e+10   1.01890e+29   4.71430e-05      56      56      20
   7.72430e+10   9.95750e+28   4.63360e-05      56      56      20
   7.59190e+10   9.73090e+28   4.55440e-05      56      56      20
   7.46180e+10   9.50940e+28   4.47640e-05      56      56      20
   7.33400e+10   9.29290e+28   4.39980e-05      56      56      20
   7.33050e+10   9.28700e+28   4.39770e-05      56      56      20
   6.67540e+10   9.28700e+28   4.00520e-05      56      56      22
   6.56410e+10   9.08140e+28   3.93850e-05      56      56      22
   6.45160e+10   8.87470e+28   3.87110e-05      56      56      22
   6.34110e+10   8.67260e+28   3.80490e-05      56      56      22
   6.23240e+10   8.47520e+28   3.73980e-05      56      56      22
   6.12560e+10   8.28230e+28   3.67580e-05      56      56      22
   6.02060e+10   8.09380e+28   3.61290e-05      56      56      22
   5.91750e+10   7.90950e+28   3.55110e-05      56      56      22
   5.81610e+10   7.72950e+28   3.49030e-05      56      56      22
   5.71640e+10   7.55360e+28   3.43060e-05      56      56      22
   5.61840e+10   7.38160e+28   3.37190e-05      56      56      22
   5.52220e+10   7.21360e+28   3.31420e-05      56      56      22
   5.42760e+10   7.04940e+28   3.25750e-05      56      56      22
   5.33460e+10   6.88890e+28   3.20180e-05      56      56      22
   5.24320e+10   6.73210e+28   3.14700e-05      56      56      22
   5.15330e+10   6.57890e+28   3.09310e-05      56      56      22
   5.06500e+10   6.42910e+28   3.04020e-05      56      56      22
   4.97820e+10   6.28280e+28   2.98820e-05      56      56      22
   4.89290e+10   6.13980e+28   2.93710e-05      56      56      22
   4.80910e+10   6.00000e+28   2.88680e-05      56      56      22
   4.72670e+10   5.86340e+28   2.83740e-05      56      56      22
   4.64570e+10   5.73000e+28   2.78890e-05      56      56      22
   4.56620e+10   5.59950e+28   2.74120e-05      56      56      22
   4.48790e+10   5.47210e+28   2.69430e-05      56      56      22
   4.41100e+10   5.34750e+28   2.64820e-05      56      56      22
   4.33550e+10   5.22580e+28   2.60290e-05      56      56      22
   4.26120e+10   5.10680e+28   2.55830e-05      56      56      22
   4.18820e+10   4.99060e+28   2.51460e-05      56      56      22
   4.11650e+10   4.87700e+28   2.47160e-05      56      56      22
   4.04600e+10   4.76600e+28   2.42930e-05      56      56      22
   3.97660e+10   4.65750e+28   2.38770e-05      56      56      22
   3.90850e+10   4.55150e+28   2.34690e-05      56      56      22
   3.84160e+10   4.44790e+28   2.30670e-05      56      56      22
   3.77580e+10   4.34660e+28   2.26730e-05      56      56      22
   3.71110e+10   4.24770e+28   2.22850e-05      56      56      22
   3.64750e+10   4.15100e+28   2.19030e-05      56      56      22
   3.58510e+10   4.05650e+28   2.15290e-05      56      56      22
   3.52370e+10   3.96420e+28   2.11600e-05      56      56      22
   3.46330e+10   3.87390e+28   2.07980e-05      56      56      22
   3.40400e+10   3.78570e+28   2.04430e-05      56      56      22
   3.34570e+10   3.69960e+28   2.00930e-05      56      56      22
   3.28840e+10   3.61540e+28   1.97490e-05      56      56      22
   3.23210e+10   3.53310e+28   1.94110e-05      56      56      22
   3.17670e+10   3.45260e+28   1.90790e-05      56      56      22
   3.12230e+10   3.37400e+28   1.87530e-05      56      56      22
   3.06880e+10   3.29720e+28   1.84320e-05      56      56      22
   3.01630e+10   3.22220e+28   1.81170e-05      56      56      22
   2.96460e+10   3.14880e+28   1.78070e-05      56      56      22
   2.91390e+10   3.07720e+28   1.75030e-05      56      56      22
   2.86400e+10   3.00710e+28   1.72030e-05      56      56      22
   2.81490e+10   2.93870e+28   1.69090e-05      56      56      22
   2.76670e+10   2.87180e+28   1.66200e-05      56      56      22
   2.71940e+10   2.80640e+28   1.63350e-05      56      56      22
   2.67280e+10   2.74250e+28   1.60560e-05      56      56      22
   2.62700e+10   2.68010e+28   1.57810e-05      56      56      22
   2.58200e+10   2.61910e+28   1.55120e-05      56      56      22
   2.53780e+10   2.55950e+28   1.52460e-05      56      56      22
   2.49440e+10   2.50120e+28   1.49860e-05      56      56      22
   2.45170e+10   2.44430e+28   1.47290e-05      56      56      22
   2.40970e+10   2.38860e+28   1.44770e-05      56      56      22
   2.36840e+10   2.33430e+28   1.42300e-05      56      56      22
   2.32790e+10   2.28110e+28   1.39860e-05      56      56      22
   2.28800e+10   2.22920e+28   1.37470e-05      56      56      22
   2.24890e+10   2.17850e+28   1.35120e-05      56      56      22
   2.21040e+10   2.12890e+28   1.32810e-05      56      56      22
   2.17250e+10   2.08040e+28   1.30540e-05      56      56      22
