      6    418    279          Itext Imax Icore

	BM165 WITH hyperons Bednarek et al. A&A 2012

   Rho	   Press	    nbar	    Ye	    Ymu	    Yn	    Yp	    Yla	    Ysm	    Ys0	    Ysp	Yxim	Yxi0	   mstp	   mstn	   mstla	   mstsm	   msts0	   mstsp	mstxim	mstxi0
  g/cm3	 dyne/cm2	   #/fm3	  [A_cell]	   [A_ion]	    [Z]													

2.0374667E+15	6.4759228E+35	9.3373397E-01	3.6594720E-02	2.2171769E-02	5.5103686E-01	1.6337247E-01	1.8098469E-01	5.2086104E-02	0.0000000E+00	0.0000000E+00	5.2519876E-02	0.0000000E+00	3.7673774E-01	5.3561941E-01	5.7636498E-01	6.6199817E-01	0.0000000E+00	0.0000000E+00	7.0538394E-01	0.0000000E+00
2.0164182E+15	6.3381811E+35	9.2658796E-01	3.6877691E-02	2.2343393E-02	5.5209526E-01	1.6319031E-01	1.8074521E-01	5.0899970E-02	0.0000000E+00	0.0000000E+00	5.3069255E-02	0.0000000E+00	3.7627937E-01	5.3506203E-01	5.7692447E-01	6.6244111E-01	0.0000000E+00	0.0000000E+00	7.0665399E-01	0.0000000E+00
1.9955581E+15	6.2029611E+35	9.1946632E-01	3.7161154E-02	2.2514616E-02	5.5316779E-01	1.6300643E-01	1.8049512E-01	4.9705321E-02	0.0000000E+00	0.0000000E+00	5.3625338E-02	0.0000000E+00	3.7583126E-01	5.3451160E-01	5.7748846E-01	6.6288567E-01	0.0000000E+00	0.0000000E+00	7.0792434E-01	0.0000000E+00
1.9748802E+15	6.0701928E+35	9.1236755E-01	3.7445302E-02	2.2685572E-02	5.5425559E-01	1.6282067E-01	1.8023394E-01	4.8502355E-02	0.0000000E+00	0.0000000E+00	5.4187442E-02	0.0000000E+00	3.7539351E-01	5.3396840E-01	5.7805732E-01	6.6333233E-01	0.0000000E+00	0.0000000E+00	7.0919557E-01	0.0000000E+00
1.9543781E+15	5.9398095E+35	9.0529017E-01	3.7730333E-02	2.2856400E-02	5.5535983E-01	1.6263287E-01	1.7996115E-01	4.7291282E-02	0.0000000E+00	0.0000000E+00	5.4754860E-02	0.0000000E+00	3.7496623E-01	5.3343274E-01	5.7863146E-01	6.6378160E-01	0.0000000E+00	0.0000000E+00	7.1046828E-01	0.0000000E+00
1.9340457E+15	5.8117475E+35	8.9823268E-01	3.8016451E-02	2.3027243E-02	5.5648170E-01	1.6244287E-01	1.7967624E-01	4.6072324E-02	0.0000000E+00	0.0000000E+00	5.5326857E-02	0.0000000E+00	3.7454957E-01	5.3290495E-01	5.7921130E-01	6.6423403E-01	0.0000000E+00	0.0000000E+00	7.1174304E-01	0.0000000E+00
1.9138770E+15	5.6859460E+35	8.9119362E-01	3.8303869E-02	2.3198247E-02	5.5762246E-01	1.6225050E-01	1.7937866E-01	4.4845714E-02	0.0000000E+00	0.0000000E+00	5.5902671E-02	0.0000000E+00	3.7414365E-01	5.3238533E-01	5.7979722E-01	6.6469014E-01	0.0000000E+00	0.0000000E+00	7.1302044E-01	0.0000000E+00
1.8938663E+15	5.5623468E+35	8.8417153E-01	3.8592806E-02	2.3369567E-02	5.5878337E-01	1.6205558E-01	1.7906784E-01	4.3611698E-02	0.0000000E+00	0.0000000E+00	5.6481510E-02	0.0000000E+00	3.7374865E-01	5.3187425E-01	5.8038967E-01	6.6515046E-01	0.0000000E+00	0.0000000E+00	7.1430112E-01	0.0000000E+00
1.8740079E+15	5.4408945E+35	8.7716495E-01	3.8883488E-02	2.3541358E-02	5.5996575E-01	1.6185794E-01	1.7874323E-01	4.2370540E-02	0.0000000E+00	0.0000000E+00	5.7062550E-02	0.0000000E+00	3.7336474E-01	5.3137205E-01	5.8098909E-01	6.6561555E-01	0.0000000E+00	0.0000000E+00	7.1558573E-01	0.0000000E+00
1.8542962E+15	5.3215362E+35	8.7017245E-01	3.9176151E-02	2.3713784E-02	5.6117096E-01	1.6165738E-01	1.7840421E-01	4.1122516E-02	0.0000000E+00	0.0000000E+00	5.7644932E-02	0.0000000E+00	3.7299211E-01	5.3087910E-01	5.8159593E-01	6.6608597E-01	0.0000000E+00	0.0000000E+00	7.1687478E-01	0.0000000E+00
