      6    418    279          Itext Imax Icore

	BM165 without hyperons Bednarek et al. A&A 2012

   Rho	   Press	    nbar	    Ye	    Ymu	    Yn	    Yp	    Yla	    Ysm	    Ys0	    Ysp	Yxim	Yxi0	   mstp	   mstn	   mstla	   mstsm	   msts0	   mstsp	mstxim	mstxi0
  g/cm3	 dyne/cm2	   #/fm3	  [A_cell]	   [A_ion]	    [Z]													
																		
2.0587104E+15	6.6162593E+35	9.4090587E-01	9.5738694E-02	7.5184104E-02	8.2907719E-01	1.7092280E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.7720627E-01	5.3618345E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.0374667E+15	6.4759228E+35	9.3373397E-01	9.5740821E-02	7.5085286E-02	8.2917389E-01	1.7082611E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.7673774E-01	5.3561941E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
2.0164182E+15	6.3381811E+35	9.2658796E-01	9.5742218E-02	7.4984852E-02	8.2927292E-01	1.7072707E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.7627937E-01	5.3506203E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.9955581E+15	6.2029611E+35	9.1946632E-01	9.5743000E-02	7.4882997E-02	8.2937400E-01	1.7062600E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.7583126E-01	5.3451160E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.9748802E+15	6.0701928E+35	9.1236755E-01	9.5743000E-02	7.4779408E-02	8.2947758E-01	1.7052241E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.7539351E-01	5.3396840E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.9543781E+15	5.9398095E+35	9.0529017E-01	9.5742345E-02	7.4674297E-02	8.2958336E-01	1.7041664E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.7496623E-01	5.3343274E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.9340457E+15	5.8117475E+35	8.9823268E-01	9.5740850E-02	7.4567322E-02	8.2969182E-01	1.7030818E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.7454957E-01	5.3290495E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.9138770E+15	5.6859460E+35	8.9119362E-01	9.5738646E-02	7.4458703E-02	8.2980265E-01	1.7019735E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.7414365E-01	5.3238533E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.8938663E+15	5.5623468E+35	8.8417153E-01	9.5735552E-02	7.4348106E-02	8.2991633E-01	1.7008366E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.7374865E-01	5.3187425E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.8740079E+15	5.4408945E+35	8.7716495E-01	9.5731678E-02	7.4235713E-02	8.3003261E-01	1.6996739E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.7336474E-01	5.3137205E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.8542962E+15	5.3215362E+35	8.7017245E-01	9.5726865E-02	7.4121228E-02	8.3015190E-01	1.6984810E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.7299211E-01	5.3087910E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.8347257E+15	5.2042213E+35	8.6319260E-01	9.5721187E-02	7.4004772E-02	8.3027404E-01	1.6972596E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.7263099E-01	5.3039578E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.8152911E+15	5.0889018E+35	8.5622398E-01	9.5714520E-02	7.3886111E-02	8.3039936E-01	1.6960064E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.7228160E-01	5.2992249E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.7959874E+15	4.9755314E+35	8.4926517E-01	9.5706886E-02	7.3765273E-02	8.3052783E-01	1.6947216E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.7194419E-01	5.2945966E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.7768093E+15	4.8640665E+35	8.4231476E-01	9.5698217E-02	7.3642124E-02	8.3065965E-01	1.6934034E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.7161903E-01	5.2900770E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.7577519E+15	4.7544652E+35	8.3537136E-01	9.5688456E-02	7.3516557E-02	8.3079498E-01	1.6920502E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.7130642E-01	5.2856708E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.7388104E+15	4.6466876E+35	8.2843358E-01	9.5677618E-02	7.3388580E-02	8.3093380E-01	1.6906620E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.7100667E-01	5.2813825E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.7199799E+15	4.5406958E+35	8.2150004E-01	9.5665539E-02	7.3257904E-02	8.3107654E-01	1.6892345E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.7072012E-01	5.2772171E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.7012560E+15	4.4364538E+35	8.1456936E-01	9.5652317E-02	7.3124678E-02	8.3122300E-01	1.6877700E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.7044713E-01	5.2731796E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.6826339E+15	4.3339273E+35	8.0764019E-01	9.5637735E-02	7.2988529E-02	8.3137372E-01	1.6862627E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.7018808E-01	5.2692755E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.6641093E+15	4.2330838E+35	8.0071117E-01	9.5621862E-02	7.2849553E-02	8.3152857E-01	1.6847142E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.6994340E-01	5.2655101E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.6456779E+15	4.1338925E+35	7.9378097E-01	9.5604598E-02	7.2707574E-02	8.3168782E-01	1.6831218E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.6971354E-01	5.2618892E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.6273354E+15	4.0363242E+35	7.8684825E-01	9.5585818E-02	7.2562371E-02	8.3185180E-01	1.6814819E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.6949896E-01	5.2584188E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.6090777E+15	3.9403516E+35	7.7991172E-01	9.5565575E-02	7.2414019E-02	8.3202040E-01	1.6797960E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.6930016E-01	5.2551052E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.5909009E+15	3.8459489E+35	7.7297009E-01	9.5543653E-02	7.2262154E-02	8.3219418E-01	1.6780581E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.6911769E-01	5.2519549E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.5728010E+15	3.7530919E+35	7.6602209E-01	9.5520057E-02	7.2106769E-02	8.3237316E-01	1.6762683E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.6895212E-01	5.2489748E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.5547744E+15	3.6617582E+35	7.5906652E-01	9.5494755E-02	7.1947801E-02	8.3255744E-01	1.6744256E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.6880408E-01	5.2461720E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.5368176E+15	3.5719271E+35	7.5210218E-01	9.5467487E-02	7.1784826E-02	8.3274767E-01	1.6725232E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.6867416E-01	5.2435536E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.5189271E+15	3.4835794E+35	7.4512794E-01	9.5438300E-02	7.1617906E-02	8.3294378E-01	1.6705621E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.6856309E-01	5.2411273E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.5011000E+15	3.3966980E+35	7.3814274E-01	9.5407116E-02	7.1446908E-02	8.3314597E-01	1.6685403E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.6847157E-01	5.2389009E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.4833332E+15	3.3112675E+35	7.3114559E-01	9.5373695E-02	7.1271449E-02	8.3335484E-01	1.6664515E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.6840036E-01	5.2368827E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
1.4656242E+15	3.2272746E+35	7.2413562E-01	9.5337999E-02	7.1091464E-02	8.3357051E-01	1.6642947E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	3.6835028E-01	5.2350813E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00	0.0000000E+00
