# File from M. Beznogov- HHJ EOS from Kaminker et al. (2014)- EOS used in Beznogov & Yakovlev MNRAS 447 (2015)
#    rho             P           nb             ne             nmu 
#    g/cm^3            dyn/cm^2    fm-3           fm-3           fm-3
 5.058819e+14  2.993857e+34  2.905335e-01  1.801632e-02  7.626347e-03
 5.150080e+14  3.146211e+34  2.954433e-01  1.848414e-02  7.978776e-03
 5.243176e+14  3.306142e+34  3.004360e-01  1.896296e-02  8.341803e-03
 5.338154e+14  3.474007e+34  3.055131e-01  1.945304e-02  8.715650e-03
 5.435061e+14  3.650182e+34  3.106761e-01  1.995460e-02  9.100601e-03
 5.533944e+14  3.835061e+34  3.159262e-01  2.046790e-02  9.496853e-03
 5.634855e+14  4.029052e+34  3.212651e-01  2.099319e-02  9.904655e-03
 5.737844e+14  4.232585e+34  3.266942e-01  2.153073e-02  1.032428e-02
 5.842966e+14  4.446105e+34  3.322151e-01  2.208079e-02  1.075595e-02
 5.950276e+14  4.670079e+34  3.378293e-01  2.264364e-02  1.119994e-02
 6.059830e+14  4.904994e+34  3.435383e-01  2.321955e-02  1.165654e-02
 6.171688e+14  5.151358e+34  3.493438e-01  2.380879e-02  1.212599e-02
 6.285911e+14  5.409701e+34  3.552474e-01  2.441167e-02  1.260857e-02
 6.402561e+14  5.680577e+34  3.612508e-01  2.502846e-02  1.310457e-02
 6.521705e+14  5.964562e+34  3.673557e-01  2.565946e-02  1.361429e-02
 6.643408e+14  6.262259e+34  3.735637e-01  2.630497e-02  1.413801e-02
 6.767741e+14  6.574295e+34  3.798766e-01  2.696531e-02  1.467603e-02
 6.894776e+14  6.901326e+34  3.862962e-01  2.764079e-02  1.522866e-02
 7.024588e+14  7.244033e+34  3.928243e-01  2.833173e-02  1.579622e-02
 7.157252e+14  7.603129e+34  3.994627e-01  2.903845e-02  1.637903e-02
 7.292850e+14  7.979354e+34  4.062133e-01  2.976128e-02  1.697740e-02
 7.431463e+14  8.373484e+34  4.130780e-01  3.050058e-02  1.759167e-02
 7.573178e+14  8.786322e+34  4.200587e-01  3.125668e-02  1.822217e-02
 7.718081e+14  9.218709e+34  4.271573e-01  3.202993e-02  1.886928e-02
 7.866265e+14  9.671519e+34  4.343759e-01  3.282070e-02  1.953332e-02
 8.017825e+14  1.014566e+35  4.417165e-01  3.362934e-02  2.021465e-02
 8.172859e+14  1.064209e+35  4.491811e-01  3.445625e-02  2.091365e-02
 8.331467e+14  1.116179e+35  4.567719e-01  3.530178e-02  2.163069e-02
 8.493755e+14  1.170579e+35  4.644910e-01  3.616634e-02  2.236615e-02
 8.659833e+14  1.227516e+35  4.723405e-01  3.705031e-02  2.312043e-02
 8.829812e+14  1.287101e+35  4.803227e-01  3.795411e-02  2.389390e-02
 9.003810e+14  1.349452e+35  4.884398e-01  3.887813e-02  2.468698e-02
 9.181948e+14  1.414688e+35  4.966940e-01  3.982281e-02  2.550009e-02
 9.364350e+14  1.482935e+35  5.050877e-01  4.078855e-02  2.633365e-02
 9.551148e+14  1.554324e+35  5.136233e-01  4.177581e-02  2.718807e-02
 9.742475e+14  1.628991e+35  5.223031e-01  4.278502e-02  2.806380e-02
 9.938471e+14  1.707078e+35  5.311296e-01  4.381663e-02  2.896128e-02
 1.013928e+15  1.788731e+35  5.401052e-01  4.487111e-02  2.988097e-02
 1.034505e+15  1.874105e+35  5.492326e-01  4.594892e-02  3.082333e-02
 1.055595e+15  1.963357e+35  5.585142e-01  4.705053e-02  3.178884e-02
 1.077212e+15  2.056653e+35  5.679526e-01  4.817645e-02  3.277796e-02
 1.099374e+15  2.154166e+35  5.775505e-01  4.932715e-02  3.379119e-02
 1.122097e+15  2.256073e+35  5.873107e-01  5.050315e-02  3.482904e-02
 1.145401e+15  2.362562e+35  5.972357e-01  5.170496e-02  3.589201e-02
 1.169303e+15  2.473824e+35  6.073285e-01  5.293310e-02  3.698062e-02
 1.193823e+15  2.590060e+35  6.175919e-01  5.418812e-02  3.809539e-02
 1.218981e+15  2.711479e+35  6.280287e-01  5.547055e-02  3.923688e-02
 1.244797e+15  2.838296e+35  6.386418e-01  5.678094e-02  4.040562e-02
 1.271293e+15  2.970737e+35  6.494344e-01  5.811987e-02  4.160217e-02
 1.298492e+15  3.109036e+35  6.604093e-01  5.948791e-02  4.282712e-02
 1.326415e+15  3.253433e+35  6.715696e-01  6.088565e-02  4.408102e-02
 1.355088e+15  3.404181e+35  6.829186e-01  6.231368e-02  4.536449e-02
 1.384536e+15  3.561541e+35  6.944594e-01  6.377261e-02  4.667812e-02
 1.414783e+15  3.725784e+35  7.061952e-01  6.526307e-02  4.802253e-02
 1.445856e+15  3.897191e+35  7.181293e-01  6.678568e-02  4.939834e-02
 1.477785e+15  4.076054e+35  7.302651e-01  6.834108e-02  5.080620e-02
 1.510596e+15  4.262676e+35  7.426060e-01  6.992995e-02  5.224674e-02
 1.544320e+15  4.457371e+35  7.551554e-01  7.155293e-02  5.372064e-02
 1.578988e+15  4.660465e+35  7.679169e-01  7.321072e-02  5.522857e-02
 1.614632e+15  4.872296e+35  7.808941e-01  7.490400e-02  5.677123e-02
 1.651285e+15  5.093216e+35  7.940905e-01  7.663349e-02  5.834930e-02
 1.688981e+15  5.323586e+35  8.075100e-01  7.839990e-02  5.996350e-02
 1.727757e+15  5.563785e+35  8.211563e-01  8.020396e-02  6.161457e-02
 1.767649e+15  5.814204e+35  8.350332e-01  8.204643e-02  6.330323e-02
 1.808697e+15  6.075247e+35  8.491445e-01  8.392806e-02  6.503026e-02
 1.850939e+15  6.347335e+35  8.634944e-01  8.584962e-02  6.679641e-02
 1.894417e+15  6.630904e+35  8.780867e-01  8.781191e-02  6.860247e-02
 1.939174e+15  6.926404e+35  8.929257e-01  8.981574e-02  7.044924e-02
 1.985255e+15  7.234303e+35  9.080154e-01  9.186191e-02  7.233752e-02
 2.032705e+15  7.555086e+35  9.233601e-01  9.395126e-02  7.426816e-02
 2.081573e+15  7.889255e+35  9.389641e-01  9.608464e-02  7.624200e-02
 2.131908e+15  8.237330e+35  9.548318e-01  9.826291e-02  7.825988e-02
 2.183762e+15  8.599849e+35  9.709677e-01  1.004870e-01  8.032270e-02
 2.237187e+15  8.977372e+35  9.873763e-01  1.027577e-01  8.243133e-02
 2.292240e+15  9.370476e+35  1.004062e+00  1.050760e-01  8.458670e-02
 2.348977e+15  9.779760e+35  1.021030e+00  1.074429e-01  8.678972e-02
 2.407459e+15  1.020584e+36  1.038285e+00  1.098592e-01  8.904133e-02
 2.467746e+15  1.064937e+36  1.055831e+00  1.123259e-01  9.134250e-02
 2.529902e+15  1.111100e+36  1.073673e+00  1.148440e-01  9.369421e-02
 2.593995e+15  1.159143e+36  1.091818e+00  1.174146e-01  9.609744e-02
