6	126	38		Itext, Imax, Icore												
																
EOS Sly4, Douchin et Haensel (2001) core + inner crust / EOS Haensel Zdunik Dobaczewski outer crust																
																
Rho	Press	nbar	Ye	Ymu	Yn	Yp	Yla	Ysm	Ys0	Ysp	mstp	mstn	mstla	mstsm	msts0	mstsp
g/cm3	dyne/cm2	#/fm3	[A_cell]	[A_ion]	[Z]				
							
1.0110E+10	7.7020E+27	6.0770E-06	84.000	84.000	34.000											
8.0250E+09	5.6620E+27	4.8270E-06	84.000	84.000	34.000											
6.6020E+09	4.3620E+27	3.9710E-06	84.000	84.000	34.000											
4.0740E+09	2.3560E+27	2.4520E-06	68.000	68.000	28.000											
2.5700E+09	1.2720E+27	1.5470E-06	68.000	68.000	28.000											
1.6210E+09	6.8600E+26	9.7610E-07	68.000	68.000	28.000											
1.2880E+09	5.0360E+26	7.7530E-07	68.000	68.000	28.000											
1.0450E+09	4.1290E+26	6.2940E-07	64.000	64.000	28.000											
8.3010E+08	3.0290E+26	5.0000E-07	64.000	64.000	28.000											
5.2370E+08	1.6290E+26	3.1550E-07	64.000	64.000	28.000											
3.3040E+08	8.7380E+25	1.9900E-07	64.000	64.000	28.000											
2.6240E+08	6.6760E+25	1.5810E-07	64.000	62.000	28.000											
1.3150E+08	2.6040E+25	7.9240E-08	62.000	62.000	28.000											
6.5890E+07	1.0060E+25	3.9720E-08	62.000	62.000	28.000											
3.3020E+07	3.8330E+24	1.9900E-08	62.000	62.000	28.000											
1.6550E+07	1.4350E+24	9.9760E-09	62.000	62.000	28.000											
8.2930E+06	5.2590E+23	5.0000E-09	62.000	62.000	28.000											
6.5880E+06	3.9110E+23	3.9720E-09	56.000	56.000	26.000											
2.6220E+06	9.7550E+22	1.5810E-09	56.000	56.000	26.000											
1.0440E+06	2.3180E+22	6.2940E-10	56.000	56.000	26.000											
4.1560E+05	5.2660E+21	2.5060E-10	56.000	56.000	26.000											
1.6540E+05	1.1510E+21	9.9760E-11	56.000	56.000	26.000											
6.5870E+04	2.4310E+20	3.9720E-11	56.000	56.000	26.000											
2.6220E+04	4.9680E+19	1.5810E-11	56.000	56.000	26.000											
