      6    632    492      Itext Imax Icore		
																				
	G85: model 3 from Glendenning 1985													
																				
   Rho	   Press	    nbar	    Ye	    Ymu	    Yn	    Yp	    Yla	    Ysm	    Ys0	    Ysp	Yxim	Yxi0	   mstp	   mstn	   mstla	   mstsm	   msts0	   mstsp	mstxim	mstxi0

6.0331030E+15	1.9142417E+36	2.3151000E+00	1.2361351E-03	0.0000000E+00	1.9888497E-01	1.7506636E-01	3.2165443E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7383022E-01	1.3056402E-01	1.1810247E-01	1.1793983E-01	6.9015368E-01	8.5835488E-01	8.5852757E-01	8.5740216E-01	1.0283216E+00	1.0276903E+00
6.0154830E+15	1.9059898E+36	2.3101000E+00	1.2544605E-03	0.0000000E+00	1.9907170E-01	1.7512786E-01	3.2162658E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7387340E-01	1.3030045E-01	1.1838650E-01	1.1822346E-01	6.9025337E-01	8.5840035E-01	8.5857323E-01	8.5744794E-01	1.0283124E+00	1.0276812E+00
5.9978829E+15	1.8977557E+36	2.3051000E+00	1.2729884E-03	0.0000000E+00	1.9925928E-01	1.7518968E-01	3.2159839E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7391670E-01	1.3003595E-01	1.1867139E-01	1.1850797E-01	6.9035336E-01	8.5844597E-01	8.5861904E-01	8.5749386E-01	1.0283033E+00	1.0276720E+00
5.9803026E+15	1.8895395E+36	2.3001000E+00	1.2917205E-03	0.0000000E+00	1.9944771E-01	1.7525183E-01	3.2156986E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7396010E-01	1.2977050E-01	1.1895717E-01	1.1879335E-01	6.9045366E-01	8.5849172E-01	8.5866498E-01	8.5753993E-01	1.0282941E+00	1.0276628E+00
5.9627422E+15	1.8813410E+36	2.2951000E+00	1.3106584E-03	0.0000000E+00	1.9963699E-01	1.7531429E-01	3.2154099E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7400363E-01	1.2950411E-01	1.1924382E-01	1.1907961E-01	6.9055427E-01	8.5853762E-01	8.5871107E-01	8.5758613E-01	1.0282849E+00	1.0276535E+00
5.9452016E+15	1.8731604E+36	2.2901000E+00	1.3298036E-03	0.0000000E+00	1.9982712E-01	1.7537707E-01	3.2151177E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7404727E-01	1.2923677E-01	1.1953136E-01	1.1936675E-01	6.9065518E-01	8.5858366E-01	8.5875730E-01	8.5763248E-01	1.0282757E+00	1.0276443E+00
5.9276809E+15	1.8649977E+36	2.2851000E+00	1.3491580E-03	0.0000000E+00	2.0001812E-01	1.7544018E-01	3.2148220E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7409102E-01	1.2896847E-01	1.1981979E-01	1.1965478E-01	6.9075641E-01	8.5862984E-01	8.5880367E-01	8.5767897E-01	1.0282665E+00	1.0276350E+00
5.9101800E+15	1.8568527E+36	2.2801000E+00	1.3687230E-03	0.0000000E+00	2.0020999E-01	1.7550361E-01	3.2145229E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7413489E-01	1.2869921E-01	1.2010911E-01	1.1994370E-01	6.9085796E-01	8.5867617E-01	8.5885018E-01	8.5772561E-01	1.0282572E+00	1.0276256E+00
5.8926990E+15	1.8487256E+36	2.2751000E+00	1.3885005E-03	0.0000000E+00	2.0040274E-01	1.7556738E-01	3.2142202E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7417888E-01	1.2842899E-01	1.2039933E-01	1.2023352E-01	6.9095982E-01	8.5872263E-01	8.5889684E-01	8.5777239E-01	1.0282479E+00	1.0276163E+00
5.8752379E+15	1.8406164E+36	2.2701000E+00	1.4084921E-03	0.0000000E+00	2.0059637E-01	1.7563147E-01	3.2139139E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7422298E-01	1.2815779E-01	1.2069045E-01	1.2052425E-01	6.9106199E-01	8.5876925E-01	8.5894364E-01	8.5781932E-01	1.0282385E+00	1.0276069E+00
5.8577965E+15	1.8325249E+36	2.2651000E+00	1.4286995E-03	0.0000000E+00	2.0079088E-01	1.7569590E-01	3.2136040E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7426720E-01	1.2788562E-01	1.2098248E-01	1.2081588E-01	6.9116449E-01	8.5881601E-01	8.5899060E-01	8.5786639E-01	1.0282291E+00	1.0275975E+00
5.8403751E+15	1.8244513E+36	2.2601000E+00	1.4491244E-03	0.0000000E+00	2.0098629E-01	1.7576065E-01	3.2132906E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7431153E-01	1.2761247E-01	1.2127543E-01	1.2110842E-01	6.9126730E-01	8.5886291E-01	8.5903769E-01	8.5791361E-01	1.0282197E+00	1.0275880E+00
5.8229735E+15	1.8163956E+36	2.2551000E+00	1.4697685E-03	0.0000000E+00	2.0118260E-01	1.7582575E-01	3.2129735E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7435598E-01	1.2733833E-01	1.2156929E-01	1.2140187E-01	6.9137044E-01	8.5890996E-01	8.5908494E-01	8.5796098E-01	1.0282103E+00	1.0275786E+00
5.8055917E+15	1.8083577E+36	2.2501000E+00	1.4906337E-03	0.0000000E+00	2.0137981E-01	1.7589118E-01	3.2126527E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7440054E-01	1.2706320E-01	1.2186407E-01	1.2169625E-01	6.9147390E-01	8.5895716E-01	8.5913233E-01	8.5800849E-01	1.0282009E+00	1.0275691E+00
5.7882298E+15	1.8003377E+36	2.2451000E+00	1.5117215E-03	0.0000000E+00	2.0157793E-01	1.7595695E-01	3.2123283E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7444523E-01	1.2678706E-01	1.2215978E-01	1.2199156E-01	6.9157769E-01	8.5900451E-01	8.5917987E-01	8.5805616E-01	1.0281914E+00	1.0275595E+00
5.7708877E+15	1.7923354E+36	2.2401000E+00	1.5330339E-03	0.0000000E+00	2.0177698E-01	1.7602306E-01	3.2120001E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7449003E-01	1.2650993E-01	1.2245643E-01	1.2228779E-01	6.9168180E-01	8.5905200E-01	8.5922756E-01	8.5810398E-01	1.0281818E+00	1.0275500E+00
5.7535655E+15	1.7843511E+36	2.2351000E+00	1.5545725E-03	0.0000000E+00	2.0197694E-01	1.7608952E-01	3.2116682E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7453494E-01	1.2623178E-01	1.2275401E-01	1.2258496E-01	6.9178625E-01	8.5909965E-01	8.5927541E-01	8.5815194E-01	1.0281723E+00	1.0275404E+00
5.7362631E+15	1.7763846E+36	2.2301000E+00	1.5763393E-03	0.0000000E+00	2.0217784E-01	1.7615632E-01	3.2113325E-01	0.0000000E+00	0.0000000E+00	0.0000000E+00	1.7457998E-01	1.2595262E-01	1.2305253E-01	1.2288307E-01	6.9189102E-01	8.5914745E-01	8.5932340E-01	8.5820006E-01	1.0281627E+00	1.0275308E+00
