#       rho                     pressure          baryon number density             ne                     nmu
#       cgs                        cgs                   fm-3                   fm-3                   fm-3               
  0.8204626424153560E+09  0.2933780169919918E+27  0.4937441530180387E-06  0.2839150341000913E-08  0.0000000000000000E+00
  0.8532811481119703E+09  0.3088484263918210E+27  0.5134858697154551E-06  0.2952675118777965E-08  0.0000000000000000E+00
  0.8874123940364492E+09  0.3251260861607655E+27  0.5340168203163401E-06  0.3070738799460696E-08  0.0000000000000000E+00
  0.9229088897979072E+09  0.3422527747306649E+27  0.5553685508846681E-06  0.3193522838804935E-08  0.0000000000000000E+00
  0.9598252453898236E+09  0.3602724200272707E+27  0.5775738680939423E-06  0.3321215946443754E-08  0.0000000000000000E+00
  0.9982182552054166E+09  0.3792312096452155E+27  0.6006668895874134E-06  0.3454014375896746E-08  0.0000000000000000E+00
  0.1038146985413633E+10  0.3991777066580146E+27  0.6246830963494501E-06  0.3592122226179099E-08  0.0000000000000000E+00
  0.1079672864830178E+10  0.4201629713509877E+27  0.6496593871683442E-06  0.3735751755475072E-08  0.0000000000000000E+00
  0.1122859779423386E+10  0.4422406891793071E+27  0.6756341352740455E-06  0.3885123707359051E-08  0.0000000000000000E+00
  0.1167774170600321E+10  0.4654673052691811E+27  0.7026472472376411E-06  0.4040467650066812E-08  0.0000000000000000E+00
  0.1214485137424334E+10  0.4899021657958754E+27  0.7307402242228721E-06  0.4202022329339850E-08  0.0000000000000000E+00
  0.1263064542921308E+10  0.5156076665896356E+27  0.7599562256835751E-06  0.4370036035386593E-08  0.0000000000000000E+00
  0.1313587124638160E+10  0.5426494093382749E+27  0.7903401356046845E-06  0.4544766984526230E-08  0.0000000000000000E+00
  0.1366130609623687E+10  0.5710963657736292E+27  0.8219386313883287E-06  0.4726483716103615E-08  0.0000000000000000E+00
  0.1420775834008634E+10  0.6010210502493178E+27  0.8548002554906042E-06  0.4915465505287396E-08  0.0000000000000000E+00
  0.1477606867368979E+10  0.6324997011371532E+27  0.8889754899188285E-06  0.5112002792388169E-08  0.0000000000000000E+00
  0.1536711142063739E+10  0.6656124714918105E+27  0.9245168337034454E-06  0.5316397629359028E-08  0.0000000000000000E+00
  0.1598179587746288E+10  0.7004436294558808E+27  0.9614788834633255E-06  0.5528964144167691E-08  0.0000000000000000E+00
  0.1662106771256140E+10  0.7370817689008752E+27  0.9999184171879273E-06  0.5750029023756972E-08  0.0000000000000000E+00
  0.1728591042106386E+10  0.7756200308257739E+27  0.1039894481364732E-05  0.5979932016339447E-08  0.0000000000000000E+00
  0.1797734683790641E+10  0.8161563360596223E+27  0.1081468481585462E-05  0.6219026453802052E-08  0.0000000000000000E+00
  0.1869644071142267E+10  0.8587936298438228E+27  0.1124704276769951E-05  0.6467679795027818E-08  0.0000000000000000E+00
  0.1944429833987958E+10  0.9036401388968803E+27  0.1169668277152049E-05  0.6726274190974348E-08  0.0000000000000000E+00
  0.2022207027347476E+10  0.9508096415964314E+27  0.1216429546177726E-05  0.6995207072382700E-08  0.0000000000000000E+00
  0.2103095308441375E+10  0.1000421751943898E+28  0.1265059906471516E-05  0.7274891761025498E-08  0.0000000000000000E+00
  0.2187219120779030E+10  0.1052602218010952E+28  0.1315634050033691E-05  0.7565758105439904E-08  0.0000000000000000E+00
  0.2274707885610192E+10  0.1107483235601895E+28  0.1368229652837009E-05  0.7868253142129229E-08  0.0000000000000000E+00
  0.2365696201034600E+10  0.1165203777902612E+28  0.1422927493998651E-05  0.8182841783256907E-08  0.0000000000000000E+00
  0.2460324049075984E+10  0.1225909941925109E+28  0.1479811579709935E-05  0.8510007531897757E-08  0.0000000000000000E+00
  0.2558737011039023E+10  0.1289755312596572E+28  0.1538969272113716E-05  0.8850253225954839E-08  0.0000000000000000E+00
  0.2661086491480585E+10  0.1356901345384560E+28  0.1600491423326929E-05  0.9204101811894881E-08  0.0000000000000000E+00
  0.2767529951139808E+10  0.1427517768393185E+28  0.1664472514813627E-05  0.9572097149502188E-08  0.0000000000000000E+00
  0.2878231149185400E+10  0.1501783004912062E+28  0.1731010802322067E-05  0.9954804848899478E-08  0.0000000000000000E+00
  0.2993360395152817E+10  0.1579884617446875E+28  0.1800208466607902E-05  0.1035281314113486E-07  0.0000000000000000E+00
  0.3113094810958930E+10  0.1662019774312375E+28  0.1872171770174413E-05  0.1076673378368692E-07  0.0000000000000000E+00
  0.3237618603397287E+10  0.1748395739919825E+28  0.1947011220269922E-05  0.1119720300229475E-07  0.0000000000000000E+00
  0.3367123347533178E+10  0.1839230389946891E+28  0.2024841738392118E-05  0.1164488247057723E-07  0.0000000000000000E+00
  0.3501808281434505E+10  0.1934752752635068E+28  0.2105782836558990E-05  0.1211046032896506E-07  0.0000000000000000E+00
  0.3641880612691886E+10  0.2035203577520446E+28  0.2189958800616429E-05  0.1259465224453167E-07  0.0000000000000000E+00
  0.3787555837199562E+10  0.2140835932965150E+28  0.2277498880863320E-05  0.1309820251337314E-07  0.0000000000000000E+00
  0.3939058070687544E+10  0.2251915833923168E+28  0.2368537490286196E-05  0.1362188520725532E-07  0.0000000000000000E+00
  0.4096620393515046E+10  0.2368722901442187E+28  0.2463214410707132E-05  0.1416650536631586E-07  0.0000000000000000E+00
  0.4260485209255648E+10  0.2491551055473727E+28  0.2561675007160712E-05  0.1473290023968248E-07  0.0000000000000000E+00
  0.4430904617625875E+10  0.2620709242638107E+28  0.2664070450828486E-05  0.1532194057594444E-07  0.0000000000000000E+00
  0.4608140802330910E+10  0.2756522200666555E+28  0.2770557950872468E-05  0.1593453196549414E-07  0.0000000000000000E+00
  0.4792466434424147E+10  0.2899331261325717E+28  0.2881300995522833E-05  0.1657161623683781E-07  0.0000000000000000E+00
  0.4984165091801113E+10  0.3049495193707588E+28  0.2996469602789135E-05  0.1723417290906091E-07  0.0000000000000000E+00
  0.5183531695473158E+10  0.3207391089859442E+28  0.3116240581179186E-05  0.1792322070272340E-07  0.0000000000000000E+00
  0.5390872963292085E+10  0.3373415294813724E+28  0.3240797800824947E-05  0.1863981911155370E-07  0.0000000000000000E+00
  0.5606507881823769E+10  0.3547984383171859E+28  0.3370332475430833E-05  0.1938507003740761E-07  0.0000000000000000E+00
  0.5830768197096720E+10  0.3731536184491065E+28  0.3505043455476364E-05  0.2016011949106044E-07  0.0000000000000000E+00
  0.6063998924980589E+10  0.3924530859822005E+28  0.3645137533122325E-05  0.2096615936150620E-07  0.0000000000000000E+00
