      6    204    142          Itext Imax Icore

	GM3 EOS

   Rho	   Press	    nbar	    Ye	    Ymu	    Yn	    Yp	    Yla	    Ysm	    Ys0	    Ysp	Yxim	   mstp	   mstn	   mstla	   mstsm	   msts0	   mstsp	mstxim
  g/cm3	 dyne/cm2	   #/fm3	  [A_cell]	   [A_ion]	    [Z]	

 0.170376E+16   0.449903E+36   0.830000E+00   0.209660E+00   0.796517E-01   0.710688E+00   0.289312E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.799671E-01   0.799671E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.167743E+16   0.436885E+36   0.820000E+00   0.209040E+00   0.791235E-01   0.711836E+00   0.288164E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.806042E-01   0.806042E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.165128E+16   0.424070E+36   0.810000E+00   0.208410E+00   0.785844E-01   0.713005E+00   0.286995E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.812525E-01   0.812525E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.162530E+16   0.411455E+36   0.800000E+00   0.207770E+00   0.780340E-01   0.714196E+00   0.285804E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.819124E-01   0.819124E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.159949E+16   0.399042E+36   0.790000E+00   0.207110E+00   0.774773E-01   0.715412E+00   0.284588E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.825841E-01   0.825841E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.157385E+16   0.386831E+36   0.780000E+00   0.206450E+00   0.769028E-01   0.716647E+00   0.283353E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.832677E-01   0.832677E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.154838E+16   0.374823E+36   0.770000E+00   0.205760E+00   0.763262E-01   0.717913E+00   0.282087E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.839637E-01   0.839637E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.152308E+16   0.363017E+36   0.760000E+00   0.205070E+00   0.757308E-01   0.719199E+00   0.280801E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.846721E-01   0.846721E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.149796E+16   0.351415E+36   0.750000E+00   0.204360E+00   0.751269E-01   0.720513E+00   0.279487E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.853934E-01   0.853934E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
 0.147300E+16   0.340015E+36   0.740000E+00   0.203630E+00   0.745137E-01   0.721856E+00   0.278144E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.861278E-01   0.861278E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
