
 EOS                                                                            

              Mstar     = 1.000E+00    Rstar     = 1.177E+06
              Mexo      = 0.000E+00    Rexo      = 0.000E+00
              Mcore     = 9.785E-01    Rcore     = 1.033E+06
              Mincrust  = 2.150E-02    Rincrust  = 8.056E+04
              Moutcrust = 4.984E-05    Routcrust = 6.305E+04

rho_cen=   0.718E+15
  icore= 401   sfn1s0=  0.                 emnco= 5.   rhoexo=   5.000E+24
  idrip= 553   sfn3p2=  0.  fn3p2= 1.00    emncr= 5.     cexo=   1.000E+25
   imax= 769   sfp1s0=  0.  fp1s0= 1.00      emp= 3.     pexo=   6.000E+00

            DUrca not possible
          e-ion bremstrahlung:  1             bubble neutrinos:  0
             plasma neutrinos:  1              neutron 1S0 pbf:  1
               pair neutrinos:  0              neutron 3P2 pbf:  1
              photo neutrinos:  0               proton 1S0 pbf:  1



    Step      Time            Teff       L_phot       L_nu        L_heat 
             [years]      at inf [K]    [erg/sec]   [erg/sec]   [erg/sec]

     268  5012.66388           1054913.23     1.634086938E+33 2.908820024E+29  0.00000000    
     269  5012.67533           1050525.07     1.607066622E+33 2.908834097E+29  0.00000000    
     270  5012.68907           1045926.02     1.579108846E+33 2.908865384E+29  0.00000000    
     271  5012.70555           1041131.22     1.550351156E+33 2.908921815E+29  0.00000000    
     272  5012.72533           1036139.89     1.520833878E+33 2.909014120E+29  0.00000000    
     273  5012.74907           1030936.28     1.490512040E+33 2.909156486E+29  0.00000000    
     274  5012.77756           1025492.28     1.459277152E+33 2.909367258E+29  0.00000000    
     275  5012.81174           1019770.70     1.426981442E+33 2.909669633E+29  0.00000000    
     276  5012.85276           1013728.24     1.393459571E+33 2.910092354E+29  0.00000000    
     277  5012.90198           1007318.03     1.358546884E+33 2.910670374E+29  0.00000000    
     278  5012.96105           1000492.15     1.322095870E+33 2.911445461E+29  0.00000000    
     279  5013.03193           993203.976     1.283991054E+33 2.912466747E+29  0.00000000    
     280  5013.11699           985409.539     1.244157174E+33 2.913791264E+29  0.00000000    
     281  5013.21906           977065.387     1.202548810E+33 2.915484610E+29  0.00000000    
     282  5013.34155           968119.221     1.159107108E+33 2.917622054E+29  0.00000000    
     283  5013.48853           958490.492     1.113677475E+33 2.920290258E+29  0.00000000    
     284  5013.66490           948041.782     1.065904048E+33 2.923589358E+29  0.00000000    
     285  5013.87655           936548.283     1.015146888E+33 2.927633912E+29  0.00000000    
     286  5014.13054           923679.733     9.604922343E+32 2.932549269E+29  0.00000000    
     287  5014.43531           909014.369     9.009302970E+32 2.938457596E+29  0.00000000    
     288  5014.80105           892106.960     8.357490842E+32 2.945446636E+29  0.00000000    
     289  5015.23993           872631.956     7.651254561E+32 2.953517427E+29  0.00000000    
     290  5015.76659           850609.405     6.907627675E+32 2.962518454E+29  0.00000000    
     291  5016.39857           826671.016     6.162246171E+32 2.972092782E+29  0.00000000    
     292  5017.15696           802217.878     5.464841186E+32 2.981680184E+29  0.00000000    
     293  5018.06702           779235.395     4.865000437E+32 2.990606452E+29  0.00000000    
     294  5019.15910           759674.138     4.394581930E+32 2.998247136E+29  0.00000000    
     295  5020.46959           744703.291     4.058273314E+32 3.004198293E+29  0.00000000    
     296  5022.04218           734396.506     3.838226560E+32 3.008369492E+29  0.00000000    
     297  5023.92929           727991.245     3.706063239E+32 3.010956320E+29  0.00000000    
